trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220000-001-000-1,O-20260308-220040-001-000-2,SELL,FLAT,0,1,1773007200136210549,2026-03-08 22:00:00.136210549+00:00,1773007240372954511,2026-03-08 22:00:40.372954511+00:00,40236743962,6745.0,6720.0,['0.00 USD'],0.00371,25.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220040-001-000-3,O-20260308-220043-001-000-4,BUY,FLAT,0,1,1773007240372954511,2026-03-08 22:00:40.372954511+00:00,1773007243544532484,2026-03-08 22:00:43.544532484+00:00,3171577973,6720.0,6720.0,['0.00 USD'],0.0,0.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220043-001-000-5,O-20260308-220121-001-000-6,SELL,FLAT,0,1,1773007243544532484,2026-03-08 22:00:43.544532484+00:00,1773007281642410037,2026-03-08 22:01:21.642410037+00:00,38097877553,6720.0,6711.0,['0.00 USD'],0.00134,9.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220124-001-000-8,O-20260308-220207-001-000-9,SELL,FLAT,0,1,1773007284270974314,2026-03-08 22:01:24.270974314+00:00,1773007327565296856,2026-03-08 22:02:07.565296856+00:00,43294322542,6708.5,6697.0,['0.00 USD'],0.00171,11.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220207-001-000-10,O-20260308-220217-001-000-11,BUY,FLAT,0,1,1773007327565296856,2026-03-08 22:02:07.565296856+00:00,1773007337413527063,2026-03-08 22:02:17.413527063+00:00,9848230207,6697.0,6697.75,['0.00 USD'],0.00011,0.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220217-001-000-12,O-20260308-220241-001-000-13,SELL,FLAT,0,1,1773007337413527063,2026-03-08 22:02:17.413527063+00:00,1773007361213193896,2026-03-08 22:02:41.213193896+00:00,23799666833,6697.75,6696.25,['0.00 USD'],0.00022,1.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220245-001-000-15,O-20260308-220251-001-000-16,SELL,FLAT,0,1,1773007365586807037,2026-03-08 22:02:45.586807037+00:00,1773007371160079784,2026-03-08 22:02:51.160079784+00:00,5573272747,6698.0,6695.0,['0.00 USD'],0.00045,3.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220251-001-000-17,O-20260308-220330-001-000-18,BUY,FLAT,0,1,1773007371160079784,2026-03-08 22:02:51.160079784+00:00,1773007410702788291,2026-03-08 22:03:30.702788291+00:00,39542708507,6695.0,6699.5,['0.00 USD'],0.00067,4.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220330-001-000-19,O-20260308-220333-001-000-20,SELL,FLAT,0,1,1773007410702788291,2026-03-08 22:03:30.702788291+00:00,1773007413796182672,2026-03-08 22:03:33.796182672+00:00,3093394381,6699.5,6701.25,['0.00 USD'],-0.00026,-1.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220333-001-000-21,O-20260308-220338-001-000-22,BUY,FLAT,0,1,1773007413796182672,2026-03-08 22:03:33.796182672+00:00,1773007418616748022,2026-03-08 22:03:38.616748022+00:00,4820565350,6701.25,6703.0,['0.00 USD'],0.00026,1.75 USD,True
